id,title,overview,genres,poster_path,vote_average
1125899,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","Action, Thriller",/76Xvdqiv8ufGkerQunOpcy98oT7.jpg,6.75
1229730,Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","Action, Adventure",/1bhIezUxvLM9r66yIf1i6EDVJ6R.jpg,7.026
822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","Action, Thriller, Science Fiction",/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,6.119
1261050,The Quiet Ones,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.","Action, Drama",/7NLY1jNwtZX1yVzwVoBeAhaBE8i.jpg,6.2
1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","Action, Crime, Thriller",/bkbmInoAnEaMH4oxpXAXWwKr8Kd.jpg,6.9
1165067,Cosmic Chaos,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.","Thriller, Science Fiction",/mClzWv7gBqgXfjZXp49Enyoex1v.jpg,6.944
1373723,The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","Action, War",/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,7.44
1252309,Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.","Romance, Drama",/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg,6.0
1388366,Popeye the Slayer Man,"A curious group of friends sneak into an abandoned spinach canning factory to film a documentary on the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks.",Horror,/nVwu3mN7hr1yF467pGct3yQFM41.jpg,6.7
257094,Holland,"Nancy, a teacher whose life with her husband in Holland, Michigan, tumbles into a twisted tale when she and her colleague become suspicious of a secret.","Thriller, Mystery",/39jIr3A4ScUeGxFdMeARYKNxTgU.jpg,5.5
762509,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","Adventure, Family, Animation",/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,7.5
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","Family, Comedy, Adventure, Fantasy",/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,6.872
447273,Snow White,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.","Family, Fantasy",/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,4.505
1254786,The Life List,"When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.","Romance, Comedy, Drama",/5fg98cVo7da7OIK45csdLSd4NaU.jpg,6.959
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Animation, Adventure, Family, Comedy",/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,7.1
1020414,Peter Pan's Neverland Nightmare,"Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.","Horror, Thriller, Fantasy",/mOR1Ks0EcXocwMV4EPv4letz0F5.jpg,5.846
